NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.activity_fragment,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.activity_fragment; apijson.demo.client.view
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.activity_fragment,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.view
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.application; apijson.demo.client.model
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.application; apijson.demo.client.manager; apijson.demo.client.model
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.application,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.manager
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity]; [BaseBottomTabActivity]; [BaseFragment]; [BaseHttpListActivity]; [BaseHttpListFragment]; [BaseListActivity]; [BaseListFragment]. LCC (Lack of Component Cohesion) = 1.0
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.manager; apijson.demo.client.application
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.manager; apijson.demo.client.model; apijson.demo.client.application
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.model; apijson.demo.client.application
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.model; apijson.demo.client.application; apijson.demo.client.manager
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.application
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Comment; CommentItem; User; Moment; MomentItem]; [Login]; [Verify]. LCC (Lack of Component Cohesion) = 0.43
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.manager
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.view; apijson.demo.client.activity_fragment
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.client.view,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseViewLayout]; [CommentContainerView; CommentTextView; OnNameClickListener; ClickableSpan; CommentView; OnCommentClickListener; OnShowAllListener; MomentView; OnPictureClickListener; PraiseTextView]; [EmptyEventGridView]; [ClickableSpan]; [UserView]. LCC (Lack of Component Cohesion) = 0.36
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo.server.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseModel; Comment; Login; Moment; Privacy; User; Verify; BaseModel; Login; Privacy; User; Verify; BaseModel; Login; Privacy; User; Verify; BaseModel; Login; Privacy; User; Verify]; [Comment]; [Moment]; [Comment]; [Contract]; [Moment]; [Comment]; [Moment]. LCC (Lack of Component Cohesion) = 0.28
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,com.zxing.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.zxing.activity; com.zxing.decoding
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,com.zxing.activity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.zxing.decoding
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,com.zxing.decoding,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.zxing.decoding; com.zxing.activity
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,com.zxing.decoding,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CaptureActivityHandler; DecodeCallback; DecodeThread; DecodeFormatManager; Intents; DecodeHandler]; [FinishListener; InactivityTimer]; [DaemonThreadFactory]; [Scan]; [Encode]; [SearchBookContents]; [WifiConnect]; [Share]. LCC (Lack of Component Cohesion) = 0.57
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.base; zuo.biao.library.manager
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.base; zuo.biao.library.ui; zuo.biao.library.manager
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity; BaseBottomTabActivity; BaseBottomWindow; BaseBroadcastReceiver; OnReceiveListener; BaseFragment; BaseListActivity; BaseListFragment; BaseTabActivity; BaseTabFragment; BaseViewBottomWindow; BaseHttpListActivity; BaseHttpListFragment]; [BaseAdapter; BaseViewAdapter; OnViewClickListener]; [BaseApplication]; [BaseModel]; [BaseView; OnDataChangedListener]. LCC (Lack of Component Cohesion) = 0.25
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.interfaces,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityPresenter; Presenter; FragmentPresenter]; [AdapterCallBack]; [AdapterViewPresenter]; [CacheCallBack]; [OnAddListener]; [OnBottomDragListener]; [OnProgressListener]; [OnReachViewBorderListener]; [OnRemoveListener]; [OnResultListener]; [OnStopLoadListener]; [ViewPresenter]. LCC (Lack of Component Cohesion) = 0.86
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.manager; zuo.biao.library.base
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.manager; zuo.biao.library.base; zuo.biao.library.ui
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.manager,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): zuo.biao.library.base
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.manager,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cache; CacheManager]; [CityDB]; [HttpManager; OnHttpResponseListener; HttpHead]; [SystemBarTintManager; SystemBarConfig]; [ThreadManager; ThreadBean]; [TimeRefresher; OnTimeRefreshListener; TimeHolder]. LCC (Lack of Component Cohesion) = 0.46
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.ui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.ui; zuo.biao.library.manager; zuo.biao.library.base
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlertDialog; OnDialogButtonClickListener]; [BottomMenuView; OnBottomMenuItemClickListener; BottomMenuWindow; SelectPictureActivity]; [CutPictureActivity]; [DatePickerWindow; GridPickerAdapter; GridPickerView; OnTabClickListener; PlacePickerWindow; TimePickerWindow; EditTextInfoActivity; EditTextInfoWindow; WebViewActivity; GridAdapter; ViewHolder; KeyValueAdapter; MyURLSpan; ServerSettingActivity]; [EditTextManager]; [ViewHolder]; [ItemDialog; OnDialogItemClickListener]; [ViewHolder]; [MaxHeightWrapLayout]; [MaxWidthWrapLayout]; [PageScroller]; [SquareLinearLayout]; [SquareRelativeLayout]; [TextClearSuit]; [onTextChangedListener]; [TopMenuWindow]; [TopTabView; OnTabSelectedListener]. LCC (Lack of Component Cohesion) = 0.47
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.library.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonUtil; DownloadUtil; Log; SettingUtil; StringUtil; TimeUtil; Day; DataKeeper; EditTextUtil; ImageLoaderUtil; ScreenUtil; JSON; MD5Util]; [ContactUtil]; [PlaceUtil]; [SSLUtil]. LCC (Lack of Component Cohesion) = 0.25
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,apijson.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [HttpManager; OnHttpResponseListener; HttpHead; StringUtil]; [RequestUtil]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.57
3.7.3,da1b5bbb858b8416bf00419dec82cfd3369a80cd,Sun Sep 15 18:00:04 CEST 2019,apijson,zuo.biao.apijson.server.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Access]; [Column]; [Document]; [Function]; [PgAttribute]; [PgClass]; [Request]; [Response]; [Table]; [Test]; [TestRecord]. LCC (Lack of Component Cohesion) = 1.0
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.activity_fragment,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.activity_fragment; apijson.demo.client.view
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.activity_fragment,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.view
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.application; apijson.demo.client.model
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.application; apijson.demo.client.manager; apijson.demo.client.model
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.application,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.manager
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity]; [BaseBottomTabActivity]; [BaseFragment]; [BaseHttpListActivity]; [BaseHttpListFragment]; [BaseListActivity]; [BaseListFragment]. LCC (Lack of Component Cohesion) = 1.0
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.manager; apijson.demo.client.application
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.manager; apijson.demo.client.model; apijson.demo.client.application
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.model; apijson.demo.client.application
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.model; apijson.demo.client.application; apijson.demo.client.manager
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.application
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Comment; CommentItem; User; Moment; MomentItem]; [Login]; [Verify]. LCC (Lack of Component Cohesion) = 0.43
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.manager
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.view; apijson.demo.client.activity_fragment
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.client.view,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseViewLayout]; [CommentContainerView; CommentTextView; OnNameClickListener; ClickableSpan; CommentView; OnCommentClickListener; OnShowAllListener; MomentView; OnPictureClickListener; PraiseTextView]; [EmptyEventGridView]; [ClickableSpan]; [UserView]. LCC (Lack of Component Cohesion) = 0.36
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo.server.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseModel; Comment; Login; Moment; Privacy; User; Verify; BaseModel; Login; Privacy; User; Verify; BaseModel; Login; Privacy; User; Verify; BaseModel; Login; Privacy; User; Verify]; [Comment]; [Moment]; [Comment]; [Contract]; [Moment]; [Comment]; [Moment]. LCC (Lack of Component Cohesion) = 0.28
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,com.zxing.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.zxing.activity; com.zxing.decoding
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,com.zxing.activity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.zxing.decoding
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,com.zxing.decoding,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.zxing.decoding; com.zxing.activity
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,com.zxing.decoding,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CaptureActivityHandler; DecodeCallback; DecodeThread; DecodeFormatManager; Intents; DecodeHandler]; [FinishListener; InactivityTimer]; [DaemonThreadFactory]; [Scan]; [Encode]; [SearchBookContents]; [WifiConnect]; [Share]. LCC (Lack of Component Cohesion) = 0.57
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.base; zuo.biao.library.manager
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.base; zuo.biao.library.ui; zuo.biao.library.manager
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity; BaseBottomTabActivity; BaseBottomWindow; BaseBroadcastReceiver; OnReceiveListener; BaseFragment; BaseListActivity; BaseListFragment; BaseTabActivity; BaseTabFragment; BaseViewBottomWindow; BaseHttpListActivity; BaseHttpListFragment]; [BaseAdapter; BaseViewAdapter; OnViewClickListener]; [BaseApplication]; [BaseModel]; [BaseView; OnDataChangedListener]. LCC (Lack of Component Cohesion) = 0.25
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.interfaces,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityPresenter; Presenter; FragmentPresenter]; [AdapterCallBack]; [AdapterViewPresenter]; [CacheCallBack]; [OnAddListener]; [OnBottomDragListener]; [OnProgressListener]; [OnReachViewBorderListener]; [OnRemoveListener]; [OnResultListener]; [OnStopLoadListener]; [ViewPresenter]. LCC (Lack of Component Cohesion) = 0.86
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.manager; zuo.biao.library.base
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.manager; zuo.biao.library.base; zuo.biao.library.ui
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.manager,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): zuo.biao.library.base
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.manager,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cache; CacheManager]; [CityDB]; [HttpManager; OnHttpResponseListener; HttpHead]; [SystemBarTintManager; SystemBarConfig]; [ThreadManager; ThreadBean]; [TimeRefresher; OnTimeRefreshListener; TimeHolder]. LCC (Lack of Component Cohesion) = 0.46
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.ui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: zuo.biao.library.ui; zuo.biao.library.manager; zuo.biao.library.base
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlertDialog; OnDialogButtonClickListener]; [BottomMenuView; OnBottomMenuItemClickListener; BottomMenuWindow; SelectPictureActivity]; [CutPictureActivity]; [DatePickerWindow; GridPickerAdapter; GridPickerView; OnTabClickListener; PlacePickerWindow; TimePickerWindow; EditTextInfoActivity; EditTextInfoWindow; WebViewActivity; GridAdapter; ViewHolder; KeyValueAdapter; MyURLSpan; ServerSettingActivity]; [EditTextManager]; [ViewHolder]; [ItemDialog; OnDialogItemClickListener]; [ViewHolder]; [MaxHeightWrapLayout]; [MaxWidthWrapLayout]; [PageScroller]; [SquareLinearLayout]; [SquareRelativeLayout]; [TextClearSuit]; [onTextChangedListener]; [TopMenuWindow]; [TopTabView; OnTabSelectedListener]. LCC (Lack of Component Cohesion) = 0.47
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.library.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonUtil; DownloadUtil; Log; SettingUtil; StringUtil; TimeUtil; Day; DataKeeper; EditTextUtil; ImageLoaderUtil; ScreenUtil; JSON; MD5Util]; [ContactUtil]; [PlaceUtil]; [SSLUtil]. LCC (Lack of Component Cohesion) = 0.25
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,apijson.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [HttpManager; OnHttpResponseListener; HttpHead; StringUtil]; [RequestUtil]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.57
3.9.0,6b62775f3bd7bd473ed2ece44ac18291c22ef74f,Sun Dec 22 12:05:35 CET 2019,apijson,zuo.biao.apijson.server.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Access]; [Column]; [Document]; [ExtendedProperty]; [Function]; [PgAttribute]; [PgClass]; [Request]; [Response]; [SysColumn]; [SysTable]; [Table]; [Test]; [TestRecord]. LCC (Lack of Component Cohesion) = 1.0
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.activity_fragment,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.activity_fragment; apijson.demo.client.view
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.activity_fragment,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.manager; apijson.demo.client.view
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommentAdapter; ItemView; OnCommentClickListener]; [MomentAdapter]; [PictureAdapter; ViewHolder]; [UserAdapter]. LCC (Lack of Component Cohesion) = 0.57
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.application; apijson.demo.client.model
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: apijson.demo.client.application; apijson.demo.client.manager; apijson.demo.client.model
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.application,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): apijson.demo.client.manager
改的是Server,d1c0c5993d2c9644a3c6ef88e9e35b3de81ede1a,Wed Mar 29 05:13:02 CEST 2017,apijson,apijson.demo.client.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity]; [BaseBottomTabActivity]; [BaseFragment]; [BaseHttpListActivity]; [BaseHttpListFragment]; [BaseListActivity]; [BaseListFragment]. LCC (Lack of Component Cohesion) = 1.0
