NameTag;HashCommit;Date;testsuite;production;loc;nom;wmc;rfc;ar1;et1;it1;gf1;se1;mg1;ro1
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.meta.FileMixedMetaManagerTest;com.alibaba.otter.canal.meta.FileMixedMetaManager;53;4;6;29;2.0;5.0;0.0;0.0;0.0;0.0;1.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.meta.MemoryMetaManagerTest;com.alibaba.otter.canal.meta.MemoryMetaManager;23;3;3;13;1.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.meta.MixedMetaManagerTest;com.alibaba.otter.canal.meta.MixedMetaManager;60;5;6;31;3.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.meta.PeriodMixedMetaManagerTest;com.alibaba.otter.canal.meta.PeriodMixedMetaManager;53;5;6;30;2.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.meta.ZooKeeperMetaManagerTest;com.alibaba.otter.canal.meta.ZooKeeperMetaManager;35;5;6;20;1.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest;com.alibaba.otter.canal.parse.inbound.EventTransactionBuffer;100;6;26;81;2.0;6.0;2.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.inbound.mysql.LocalBinlogEventParserTest;com.alibaba.otter.canal.parse.inbound.mysql.LocalBinlogEventParser;154;15;48;115;2.0;5.0;0.0;11.0;0.0;1.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.inbound.mysql.MysqlEventParserTest;com.alibaba.otter.canal.parse.inbound.mysql.MysqlEventParser;201;18;60;149;2.0;7.0;12.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.DirectLogFetcherTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.DirectLogFetcher;67;2;9;18;2.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.inbound.mysql.SimpleDdlParserTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.SimpleDdlParser;134;6;7;31;8.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.inbound.TableMetaCacheTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.TableMetaCache;17;1;3;10;2.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.index.FileMixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.FileMixedLogPositionManager;28;2;4;11;2.0;6.0;0.0;0.0;0.0;0.0;1.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.index.MemoryLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MemoryLogPositionManager;8;1;1;3;0.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.index.MetaLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MetaLogPositionManager;47;4;6;18;1.0;4.0;0.0;1.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.index.MixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MixedLogPositionManager;27;3;4;12;1.0;4.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.index.PeriodMixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.PeriodMixedLogPositionManager;27;3;4;12;1.0;4.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.parse.index.ZooKeeperLogPositionManagerTest;com.alibaba.otter.canal.parse.index.ZooKeeperLogPositionManager;18;3;4;8;0.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.server.CanalServerWithNettyTest;com.alibaba.otter.canal.server.netty.CanalServerWithNetty;145;8;24;74;1.0;0.0;0.0;11.0;0.0;0.0;0.0
canal-1.0.20;452fae15fc5f1d5a7c8c1dd65bcc0d671605c6eb;Tue Jun 30 04:23:45 CEST 2015;com.alibaba.otter.canal.sink.GroupEventSinkTest;com.alibaba.otter.canal.sink.entry.group.GroupEventSink;95;5;14;46;0.0;1.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.taobao.tddl.dbsync.binlog.DirectLogFetcherTest;com.taobao.tddl.dbsync.binlog.DirectLogFetcher;66;1;7;19;2.0;6.0;0.0;0.0;0.0;1.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.taobao.tddl.dbsync.binlog.FileLogFetcherTest;com.taobao.tddl.dbsync.binlog.FileLogFetcher;67;2;8;22;2.0;6.0;0.0;0.0;0.0;2.0;1.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.taobao.tddl.dbsync.binlog.LogBufferTest;com.taobao.tddl.dbsync.binlog.LogBuffer;226;8;22;22;0.0;8.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.driver.mysql.MysqlConnectorTest;com.alibaba.otter.canal.parse.driver.mysql.MysqlConnector;43;2;4;11;2.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.meta.FileMixedMetaManagerTest;com.alibaba.otter.canal.meta.FileMixedMetaManager;53;4;6;29;2.0;5.0;0.0;0.0;0.0;0.0;1.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.meta.MemoryMetaManagerTest;com.alibaba.otter.canal.meta.MemoryMetaManager;23;3;3;13;1.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.meta.MixedMetaManagerTest;com.alibaba.otter.canal.meta.MixedMetaManager;60;5;6;31;3.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.meta.PeriodMixedMetaManagerTest;com.alibaba.otter.canal.meta.PeriodMixedMetaManager;53;5;6;30;2.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.meta.ZooKeeperMetaManagerTest;com.alibaba.otter.canal.meta.ZooKeeperMetaManager;35;5;6;20;1.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest;com.alibaba.otter.canal.parse.inbound.EventTransactionBuffer;100;6;26;81;2.0;6.0;2.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.inbound.mysql.LocalBinlogEventParserTest;com.alibaba.otter.canal.parse.inbound.mysql.LocalBinlogEventParser;154;15;48;115;2.0;5.0;0.0;11.0;0.0;1.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.inbound.mysql.MysqlEventParserTest;com.alibaba.otter.canal.parse.inbound.mysql.MysqlEventParser;201;18;60;149;2.0;7.0;12.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.DirectLogFetcherTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.DirectLogFetcher;67;2;9;18;2.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.inbound.mysql.SimpleDdlParserTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.SimpleDdlParser;181;6;7;32;8.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.inbound.TableMetaCacheTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.TableMetaCache;17;1;3;10;2.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.index.FileMixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.FileMixedLogPositionManager;28;2;4;11;2.0;6.0;0.0;0.0;0.0;0.0;1.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.index.MemoryLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MemoryLogPositionManager;8;1;1;3;0.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.index.MetaLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MetaLogPositionManager;47;4;6;18;1.0;4.0;0.0;1.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.index.MixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MixedLogPositionManager;27;3;4;12;1.0;4.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.index.PeriodMixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.PeriodMixedLogPositionManager;27;3;4;12;1.0;4.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.parse.index.ZooKeeperLogPositionManagerTest;com.alibaba.otter.canal.parse.index.ZooKeeperLogPositionManager;18;3;4;8;0.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.server.CanalServerWithNettyTest;com.alibaba.otter.canal.server.netty.CanalServerWithNetty;145;8;24;74;1.0;0.0;0.0;11.0;0.0;0.0;0.0
canal-1.0.21;8375ea4b7d49aabcf58eb7ecb41f1275a08d4347;Wed Dec 30 09:23:20 CET 2015;com.alibaba.otter.canal.sink.GroupEventSinkTest;com.alibaba.otter.canal.sink.entry.group.GroupEventSink;95;5;14;46;0.0;1.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.taobao.tddl.dbsync.binlog.DirectLogFetcherTest;com.taobao.tddl.dbsync.binlog.DirectLogFetcher;66;1;7;19;2.0;6.0;0.0;0.0;0.0;1.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.taobao.tddl.dbsync.binlog.FileLogFetcherTest;com.taobao.tddl.dbsync.binlog.FileLogFetcher;67;2;8;22;2.0;6.0;0.0;0.0;0.0;2.0;1.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.taobao.tddl.dbsync.binlog.LogBufferTest;com.taobao.tddl.dbsync.binlog.LogBuffer;226;8;22;22;0.0;8.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.driver.mysql.MysqlConnectorTest;com.alibaba.otter.canal.parse.driver.mysql.MysqlConnector;43;2;4;11;2.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.meta.FileMixedMetaManagerTest;com.alibaba.otter.canal.meta.FileMixedMetaManager;53;4;6;29;2.0;5.0;0.0;0.0;0.0;0.0;1.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.meta.MemoryMetaManagerTest;com.alibaba.otter.canal.meta.MemoryMetaManager;23;3;3;13;1.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.meta.MixedMetaManagerTest;com.alibaba.otter.canal.meta.MixedMetaManager;60;5;6;31;3.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.meta.PeriodMixedMetaManagerTest;com.alibaba.otter.canal.meta.PeriodMixedMetaManager;53;5;6;30;2.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.meta.ZooKeeperMetaManagerTest;com.alibaba.otter.canal.meta.ZooKeeperMetaManager;35;5;6;20;1.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest;com.alibaba.otter.canal.parse.inbound.EventTransactionBuffer;100;6;26;81;2.0;6.0;2.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.inbound.mysql.LocalBinlogEventParserTest;com.alibaba.otter.canal.parse.inbound.mysql.LocalBinlogEventParser;154;15;48;115;2.0;5.0;0.0;11.0;0.0;1.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.inbound.mysql.MysqlEventParserTest;com.alibaba.otter.canal.parse.inbound.mysql.MysqlEventParser;201;18;60;149;2.0;7.0;12.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.DirectLogFetcherTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.DirectLogFetcher;67;2;9;18;2.0;3.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.inbound.mysql.SimpleDdlParserTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.SimpleDdlParser;181;6;7;32;8.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.inbound.TableMetaCacheTest;com.alibaba.otter.canal.parse.inbound.mysql.dbsync.TableMetaCache;17;1;3;10;2.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.index.FileMixedLogPositionManagerTest;com.alibaba.otter.canal.parse.index.FileMixedLogPositionManager;28;2;4;11;2.0;6.0;0.0;0.0;0.0;0.0;1.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.index.MemoryLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MemoryLogPositionManager;8;1;1;3;0.0;2.0;0.0;0.0;0.0;0.0;0.0
canal-1.0.22;ba173fcd48699251a2b4e7ba7f368b9735268516;Thu Jun 30 10:59:05 CEST 2016;com.alibaba.otter.canal.parse.index.MetaLogPositionManagerTest;com.alibaba.otter.canal.parse.index.MetaLogPositionManager;47;4;6;18;1.0;4.0;0.0;1.0;0.0;0.0;0.0
