NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v6.2.0_preview,b4940c99b64daee462ea236b10b7957fc60bccdc,Mon Nov 27 05:41:59 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.0_preview,b4940c99b64daee462ea236b10b7957fc60bccdc,Mon Nov 27 05:41:59 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ApplicationDemo]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.2.0_preview,b4940c99b64daee462ea236b10b7957fc60bccdc,Mon Nov 27 05:41:59 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.3,d8c1d6d5e1b73c10f298ba0a76591144dd697211,Tue Dec 12 04:48:39 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.3,d8c1d6d5e1b73c10f298ba0a76591144dd697211,Tue Dec 12 04:48:39 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ApplicationDemo]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.2.3,d8c1d6d5e1b73c10f298ba0a76591144dd697211,Tue Dec 12 04:48:39 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.2,e55fc1f448d24dc060faa5f65965e4ba4bf54271,Sat Dec 09 04:47:09 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.2,e55fc1f448d24dc060faa5f65965e4ba4bf54271,Sat Dec 09 04:47:09 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ApplicationDemo]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.2.2,e55fc1f448d24dc060faa5f65965e4ba4bf54271,Sat Dec 09 04:47:09 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ApplicationDemo]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; ApplicationDemo; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.27
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [JZVideoPlayerStandardVolumeAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.8,22adb3f1674cbc075b24fa7e28bde5b08264fc0c,Thu Mar 08 10:32:18 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.8,22adb3f1674cbc075b24fa7e28bde5b08264fc0c,Thu Mar 08 10:32:18 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; ApplicationDemo; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.27
v6.2.8,22adb3f1674cbc075b24fa7e28bde5b08264fc0c,Thu Mar 08 10:32:18 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [JZVideoPlayerStandardVolumeAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.1.0_preview,d6ac0e0e19250309e02926f0e46c66f13ae6f8be,Sun Oct 22 13:22:30 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ApiActivity; VideoConstant; WebViewActivity; JZCallBack; DemoFragment; ListViewFragmentViewpagerActivity; MyAdapter; VideoListAdapter; VideoHolder; TextViewHolder; ListViewNormalActivity; ListViewNormalAutoTinyActivity; DirectFullscreenActivity; ExtendsNormalActivity; ListViewMultiHolderActivity; OrientationActivity; RecyclerViewNormalActivity; RecyclerViewVideoAdapter; MyViewHolder; UISmallChangeActivity]; [DemoApplication]; [ListViewActivity]; [MainActivity; MyUserActionStandard]; [UIBigChangeActivity]; [VideoListAdapter; ViewHolder]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.28
v6.1.0_preview,d6ac0e0e19250309e02926f0e46c66f13ae6f8be,Sun Oct 22 13:22:30 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.1.0_preview,d6ac0e0e19250309e02926f0e46c66f13ae6f8be,Sun Oct 22 13:22:30 CEST 2017,JiaoZiVideoPlayer,cn.jzvd,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [JZMediaManager; MediaHandler; JZResizeTextureView; JZVideoPlayer; ProgressTimerTask; JZVideoPlayerManager; JZVideoPlayerSimple; JZVideoPlayerStandard; DismissControlViewTimerTask; JZUserAction; JZUserActionStandard; JZUtils; JZAutoFullscreenListener]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.2
v6.0.2,4480fda2ef42120f793f6648eeede6ca91a87790,Sat Sep 30 06:44:38 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
v6.0.2,4480fda2ef42120f793f6648eeede6ca91a87790,Sat Sep 30 06:44:38 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ApiActivity; VideoConstant; WebViewActivity; JZCallBack; AutoTinyListActivity; VideoListAdapter; VideoHolder; TextViewHolder; ListViewNormalActivity; AutoTinyNormalActivity; DemoFragment; ListViewViewpagerActivity; MyAdapter; ExtendsNormalActivity; ListViewMultiHolderActivity; OrientationActivity; PlayDirectlyActivity; RecyclerViewNormalActivity; RecyclerViewVideoAdapter; MyViewHolder; UISmallChangeActivity]; [AutoTinyActivity]; [DemoApplication]; [ListViewActivity]; [MainActivity; MyUserActionStandard]; [UIBigChangeActivity]; [VideoListAdapter; ViewHolder]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.0.2,4480fda2ef42120f793f6648eeede6ca91a87790,Sat Sep 30 06:44:38 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.0.2,4480fda2ef42120f793f6648eeede6ca91a87790,Sat Sep 30 06:44:38 CEST 2017,JiaoZiVideoPlayer,cn.jzvd,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [JZMediaManager; MediaHandler; JZResizeTextureView; JZVideoPlayer; ProgressTimerTask; JZVideoPlayerManager; JZVideoPlayerSimple; JZVideoPlayerStandard; DismissControlViewTimerTask; JZUserAction; JZUserActionStandard; JZUtils; JZAutoFullscreenListener]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.2
v6.2.0,b86901391d2489a7d52d3babddf17271f4094bc3,Mon Nov 27 05:41:59 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.0,b86901391d2489a7d52d3babddf17271f4094bc3,Mon Nov 27 05:41:59 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ApplicationDemo]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.2.0,b86901391d2489a7d52d3babddf17271f4094bc3,Mon Nov 27 05:41:59 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.4,74311126d572c891ec56151351c544d48f8552ff,Sun Jan 14 16:03:28 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.4,74311126d572c891ec56151351c544d48f8552ff,Sun Jan 14 16:03:28 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ApplicationDemo]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.2.4,74311126d572c891ec56151351c544d48f8552ff,Sun Jan 14 16:03:28 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.2.10,1bc9fd5f96d9529ed5b16442a20e796603807e21,Tue May 08 11:28:25 CEST 2018,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
v6.2.10,1bc9fd5f96d9529ed5b16442a20e796603807e21,Tue May 08 11:28:25 CEST 2018,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ActivityApi; ApplicationDemo; VideoConstant; ActivityApiExtendsNormal; ActivityApiOrientation; ActivityApiRotationVideoSize; ActivityApiUISmallChange; ActivityDirectPlay; ActivityListViewFragmentViewPager; MyAdapter; FragmentDemo; ActivityListViewMultiHolder; VideoListAdapter; VideoHolder; TextViewHolder; ActivityTinyWindowListViewMultiHolder; VideoListAdapter; ActivityTinyWindowRecycleViewMultiHolder; AdapterRecyclerView; TextHolder; ActivityListViewNormal; AdapterVideoList; ViewHolder; ActivityListViewRecyclerView; AdapterRecyclerViewVideo; MyViewHolder; ActivityTinyWindowListViewNormal; ActivityTinyWindowRecycleView; ActivityWebView; JZCallBack]; [ActivityApiCustomMediaPlayer]; [ActivityApiUIBigChange]; [ActivityListView]; [ActivityMain; MyUserActionStandard]; [ActivityTinyWindow]; [VideoHolder]; [TextViewHolder]; [VideoHolder]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.27
v6.2.10,1bc9fd5f96d9529ed5b16442a20e796603807e21,Tue May 08 11:28:25 CEST 2018,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [JZVideoPlayerStandardVolumeAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.0.1,bb8ca32ee37315ff1c229d40ed899400589efcb7,Sat Sep 23 13:51:17 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
v6.0.1,bb8ca32ee37315ff1c229d40ed899400589efcb7,Sat Sep 23 13:51:17 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ApiActivity; VideoConstant; WebViewActivity; JZCallBack; AutoTinyListActivity; VideoListAdapter; VideoHolder; TextViewHolder; ListViewNormalActivity; AutoTinyNormalActivity; DemoFragment; ListViewViewpagerActivity; MyAdapter; ExtendsNormalActivity; ListViewMultiHolderActivity; OrientationActivity; PlayDirectlyActivity; RecyclerViewNormalActivity; RecyclerViewVideoAdapter; MyViewHolder; UISmallChangeActivity]; [AutoTinyActivity]; [DemoApplication]; [ListViewActivity]; [MainActivity; MyUserActionStandard]; [UIBigChangeActivity]; [VideoListAdapter; ViewHolder]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.29
v6.0.1,bb8ca32ee37315ff1c229d40ed899400589efcb7,Sat Sep 23 13:51:17 CEST 2017,JiaoZiVideoPlayer,cn.jzvd.demo.CustomView,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JZVideoPlayerStandardAutoCompleteAfterFullscreen]; [JZVideoPlayerStandardFresco]; [JZVideoPlayerStandardShowShareButtonAfterFullscreen]; [JZVideoPlayerStandardShowTextureViewAfterAutoComplete]; [JZVideoPlayerStandardShowTitleAfterFullscreen]; [MyJZVideoPlayerStandard]. LCC (Lack of Component Cohesion) = 1.0
v6.0.1,bb8ca32ee37315ff1c229d40ed899400589efcb7,Sat Sep 23 13:51:17 CEST 2017,JiaoZiVideoPlayer,cn.jzvd,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [JZMediaManager; MediaHandler; JZResizeTextureView; JZVideoPlayer; ProgressTimerTask; JZVideoPlayerManager; JZVideoPlayerSimple; JZVideoPlayerStandard; DismissControlViewTimerTask; JZUserAction; JZUserActionStandard; JZUtils; JZAutoFullscreenListener]; [ExampleUnitTest]. LCC (Lack of Component Cohesion) = 0.2
v6.1.2,e7348db37a668a092112a03d4ce15e3918e838dd,Sat Nov 04 10:17:04 CET 2017,JiaoZiVideoPlayer,cn.jzvd.demo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 40
