NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,showProgressDialog,24,4,5
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,dismissProgressDialog,6,2,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,showVolumeDialog,28,6,2
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,dismissVolumeDialog,6,2,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,showBrightnessDialog,21,5,1
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,dismissBrightnessDialog,6,2,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,createDialogWithView,13,1,1
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,startDismissControlViewTimer,6,1,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,cancelDismissControlViewTimer,8,3,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,onAutoCompletion,4,1,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,onCompletion,7,2,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,dissmissControlView,20,5,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,run,11,3,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,JZVideoPlayerStandard,run,3,1,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,DismissControlViewTimerTask,run,3,1,0
v6.2.1,1c0a8d06ba21e3ff52675289dd0a19b11a050541,Sun Dec 03 14:13:38 CET 2017,JiaoZiVideoPlayer,cn.jzvd,ExampleUnitTest,addition_isCorrect,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ApplicationTest,ApplicationTest,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,onCreate,36,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,onClick,22,7,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,onResume,6,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,onPause,6,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApi,cpAssertVideoToLocalPath,19,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiCustomMediaPlayer,onCreate,26,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiCustomMediaPlayer,onClick,12,3,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiCustomMediaPlayer,onResume,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiCustomMediaPlayer,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiCustomMediaPlayer,onPause,5,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiCustomMediaPlayer,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiExtendsNormal,onCreate,7,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiExtendsNormal,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiExtendsNormal,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiOrientation,onCreate,14,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiOrientation,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiOrientation,onPause,6,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiOrientation,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiRotationVideoSize,onCreate,21,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiRotationVideoSize,onClick,16,5,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiRotationVideoSize,onPause,5,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiRotationVideoSize,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiRotationVideoSize,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUIBigChange,onCreate,9,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUIBigChange,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUIBigChange,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUIBigChange,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUISmallChange,onCreate,34,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUISmallChange,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUISmallChange,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityApiUISmallChange,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityDirectPlay,onCreate,14,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityDirectPlay,onClick,10,3,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityDirectPlay,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityDirectPlay,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityDirectPlay,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListView,onCreate,17,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListView,onClick,16,5,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListView,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onCreate,16,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onPageScrolled,2,1,3
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onPageSelected,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onPageScrollStateChanged,2,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,MyAdapter,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,getItem,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewFragmentViewPager,getCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,MyAdapter,MyAdapter,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,MyAdapter,getItem,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,MyAdapter,getCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,onCreate,20,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,onScrollStateChanged,2,1,2
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,onScroll,3,1,4
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,VideoListAdapter,4,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,getCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,getItem,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,getItemId,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,getView,31,4,3
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,getItemViewType,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewMultiHolder,getViewTypeCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,VideoListAdapter,4,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,getCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,getItem,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,getItemId,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,getView,31,4,3
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,getItemViewType,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,getViewTypeCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onCreate,21,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onScrollStateChanged,2,1,2
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onScroll,3,1,4
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onResume,5,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onPause,5,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewNormal,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewRecyclerView,onCreate,24,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewRecyclerView,onChildViewAttachedToWindow,2,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewRecyclerView,onChildViewDetachedFromWindow,6,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewRecyclerView,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewRecyclerView,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityListViewRecyclerView,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityMain,onCreate,18,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityMain,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityMain,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityMain,onClick,19,6,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityMain,onEvent,52,16,4
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,MyUserActionStandard,onEvent,52,16,4
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindow,onCreate,22,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindow,onClick,19,6,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindow,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindow,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindow,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,onCreate,20,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,onScrollStateChanged,2,1,2
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,onScroll,3,1,4
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,onBackPressed,6,2,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,onPause,4,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,onOptionsItemSelected,8,2,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,VideoListAdapter,4,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,getCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,getItem,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,getItemId,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,getView,31,4,3
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,getItemViewType,3,1,1
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,ActivityTinyWindowListViewMultiHolder,getViewTypeCount,3,1,0
v6.2.5,3bedfc1222306ecc501a2aa143c48ee21fbfa2e3,Sun Jan 21 08:00:41 CET 2018,JiaoZiVideoPlayer,cn.jzvd.demo,VideoListAdapter,VideoListAdapter,4,1,1
