NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.1.3-beta.1,406ced57f53000efd4b710a6c92e829b4685458a,Sun Nov 17 22:50:21 CET 2019,halo,run.halo.app.model.entity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): run.halo.app.utils
v1.1.3-beta.1,406ced57f53000efd4b710a6c92e829b4685458a,Sun Nov 17 22:50:21 CET 2019,halo,run.halo.app.model.freemarker.tag,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TagTagDirective]; [CategoryTagDirective]; [PostTagDirective]; [PhotoTagDirective]; [CommentTagDirective]; [LinkTagDirective]; [MenuTagDirective]. LCC (Lack of Component Cohesion) = 1.0
v1.1.3-beta.1,406ced57f53000efd4b710a6c92e829b4685458a,Sun Nov 17 22:50:21 CET 2019,halo,run.halo.app.model.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BackupDto]; [UpdateCheck]; [UploadResult]; [CreateCheck]; [ThemeFile]; [QiNiuPutSet]; [BaseResponse]; [AllCheck]; [HaloConst]; [CommentPage]. LCC (Lack of Component Cohesion) = 1.0
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.repository,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single general entry-point via the following class: SheetRepositoryTest
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SheetRepositoryTest; SheetRepository]; [TagRepository]; [ThemeSettingRepository]; [OptionRepository]; [SheetCommentRepository]; [SheetMetaRepository]; [PhotoRepository]; [AttachmentRepository]; [JournalCommentRepository]; [LogRepository]; [PostRepository]; [CategoryRepository]; [PostCommentRepository]; [PostCategoryRepository]; [JournalRepository]; [MenuRepository]; [PostMetaRepository]; [UserRepository]; [LinkRepository]; [PostTagRepository]. LCC (Lack of Component Cohesion) = 0.95
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.utils,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: run.halo.app.utils; run.halo.app.model.params
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: run.halo.app.utils; run.halo.app.model.params; run.halo.app.model.entity
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): run.halo.app.handler.theme.config.impl; run.halo.app.model.params
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GithubTest; HttpClientUtils]; [TimeUnitTest]; [BeanUtilsTest; TestA; TestB; TestC; TestD; TestE; BeanUtils]; [YamlTest]; [DemoUtilTest]; [FilenameUtilsTest; FilenameUtils; PathsTest]; [JsonUtilsTest; JsonUtils]; [HaloUtilsTest; HaloUtils; SlugUtils; SlugUtilsTest]; [FileUtilsTest; FileUtils; DirectoryAttackTest; GitTest]; [URITest]; [InetAddressTest]; [LocalDateTimeTest]; [PathTest]; [ReflectionUtilsTest; ReflectionUtils]; [BcryptTest]; [ServiceUtils]; [MarkdownUtils]; [ValidationUtils]; [ServletUtils]; [ExceptionUtils]; [ImageUtils]; [DateUtils]; [WordPressMigrateUtils]; [GitUtils]; [MultipartFileResource]. LCC (Lack of Component Cohesion) = 0.6
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.model.dto.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OutputConverterTest; TestDomain; TestOutputDTO; SubTestOutputDTO; InputConverterTest; TestInputDTO; SubTestInputDTO; OutputConverter; InputConverter]; [TestDomain]. LCC (Lack of Component Cohesion) = 0.2
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.model.params,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.model.params,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: run.halo.app.model.params; run.halo.app.utils
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.model.params,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: run.halo.app.model.params; run.halo.app.model.entity; run.halo.app.utils
v1.2.0-beta.3,90757f6555e6339fb72cdc193e7d2c56f97eab82,Mon Dec 23 10:39:16 CET 2019,halo,run.halo.app.model.params,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InstallParamTest; InstallParam; UserParam]; [SheetMetaParam; BaseMetaParam; PostMetaParam]; [SheetParam]; [LinkParam]; [OptionQuery]; [PostParam]; [MenuParam]; [BaseCommentParam; PostCommentParam; SheetCommentParam; JournalCommentParam]; [CommentQuery]; [TagParam]; [LogParam]; [PostContentParam]; [PostQuery]; [PasswordParam]; [OptionParam]; [MailParam]; [AttachmentParam]; [LoginParam]; [ResetPasswordParam]; [ThemeContentParam]; [JournalParam]; [PhotoQuery]; [CategoryParam]; [JournalQuery]; [PhotoParam]; [AttachmentQuery]. LCC (Lack of Component Cohesion) = 0.79
