NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 353
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.name
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal; com.google.inject.spi
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal; com.google.inject.matcher; com.google.inject.name
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.googlecode.guice; com.google.inject.binder
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject; com.google.inject.spi
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.spi
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProvidersTest; Providers]; [TypesTest; Owning; Inner; Types]; [Modules; RealOverriddenModuleBuilder; OverriddenModuleBuilder]. LCC (Lack of Component Cohesion) = 0.33
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JndiProvider]; [ClientServiceWithGuice; Service; ServiceImpl; MyModule; Client; MockService; ClientServiceWithFactories; ServiceImpl; ServiceFactory; Client; MockService; ClientServiceWithDependencyInjection; ServiceImpl; ServiceFactory; Client; ClientFactory; MockService; ClientServiceWithGuiceDefaults; ServiceImpl; Client; MockService]; [JndiProviderClient]; [Service]; [Service]; [Service]. LCC (Lack of Component Cohesion) = 0.23
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.internal,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.internal; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.internal; com.google.inject; com.google.inject.util
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.spi; com.google.inject.util
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.matcher,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.matcher; com.google.inject.name; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.matcher,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.matcher; com.google.inject.name; com.google.inject; com.google.inject.spi
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.matcher,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject.name
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.spi,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.spi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.spi; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.spi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.spi; com.google.inject; com.google.inject.util
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.spi,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.binder
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.name,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.name; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.name,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.name; com.google.inject; com.google.inject.spi
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.name,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.googlecode.guice,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.guice; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.struts2.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServiceImpl; Service; ExampleModule; Count; Counter]; [Main]. LCC (Lack of Component Cohesion) = 0.33
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.binder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.binder; com.google.inject
snapshot20081123,1ace535ddbefba22db69224265a5882d5b1e4d1d,Thu Nov 27 12:14:59 CET 2008,guice,com.google.inject.binder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.binder; com.google.inject; com.google.inject.spi
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 320
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.name
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal; com.google.inject.spi
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal; com.google.inject.matcher; com.google.inject.name
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.googlecode.guice
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject; com.google.inject.internal
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.spi
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProvidersTest; Providers]; [TypesTest; Owning; Inner; Types]; [Modules; RealOverriddenModuleBuilder; OverriddenModuleBuilder]. LCC (Lack of Component Cohesion) = 0.33
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JndiProvider]; [ClientServiceWithGuice; Service; ServiceImpl; MyModule; Client; MockService; ClientServiceWithFactories; ServiceImpl; ServiceFactory; Client; MockService; ClientServiceWithDependencyInjection; ServiceImpl; ServiceFactory; Client; ClientFactory; MockService; ClientServiceWithGuiceDefaults; ServiceImpl; Client; MockService]; [JndiProviderClient]; [Service]; [Service]; [Service]. LCC (Lack of Component Cohesion) = 0.23
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.internal,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 77
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.internal; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.internal; com.google.inject; com.google.inject.util
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.spi; com.google.inject.util
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.matcher,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.matcher; com.google.inject.name; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.matcher,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.matcher; com.google.inject.name; com.google.inject; com.google.inject.internal
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.matcher,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject.name
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.spi,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.spi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.spi; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.spi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.spi; com.google.inject; com.google.inject.util
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.spi,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.name,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.name; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.name,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.name; com.google.inject; com.google.inject.spi
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.name,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.googlecode.guice,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.guice; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.struts2.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServiceImpl; Service; ExampleModule; Count; Counter]; [Main]. LCC (Lack of Component Cohesion) = 0.33
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.binder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.binder; com.google.inject
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.binder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.binder; com.google.inject; com.google.inject.spi
snapshot20080818,72efafab5d598f92a53dc5c937db6aaba3de5d11,Thu Aug 21 08:23:05 CEST 2008,guice,com.google.inject.binder,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 340
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.name
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal; com.google.inject.spi
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.util; com.google.inject.internal; com.google.inject.matcher; com.google.inject.name
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.googlecode.guice; com.google.inject.binder
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject; com.google.inject.spi
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.spi
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProvidersTest; Providers]; [TypesTest; Owning; Inner; Types]; [Modules; RealOverriddenModuleBuilder; OverriddenModuleBuilder]. LCC (Lack of Component Cohesion) = 0.33
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JndiProvider]; [ClientServiceWithGuice; Service; ServiceImpl; MyModule; Client; MockService; ClientServiceWithFactories; ServiceImpl; ServiceFactory; Client; MockService; ClientServiceWithDependencyInjection; ServiceImpl; ServiceFactory; Client; ClientFactory; MockService; ClientServiceWithGuiceDefaults; ServiceImpl; Client; MockService]; [JndiProviderClient]; [Service]; [Service]; [Service]. LCC (Lack of Component Cohesion) = 0.23
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.internal,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 80
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.internal; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.internal; com.google.inject; com.google.inject.util
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.spi; com.google.inject.util
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.matcher,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.matcher; com.google.inject.name; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.matcher,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.matcher; com.google.inject.name; com.google.inject; com.google.inject.spi
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.matcher,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject.name
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.spi,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.spi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.spi; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.spi,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.spi; com.google.inject; com.google.inject.util
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.spi,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject; com.google.inject.binder
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.name,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.name; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.name,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.name; com.google.inject; com.google.inject.spi
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.name,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.googlecode.guice,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.guice; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.privatemodules,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllTests; PrivateModuleTest; AB; PrivateModule; Ready; Expose; ExposedKeyBuilder]; [C]. LCC (Lack of Component Cohesion) = 0.25
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.struts2.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServiceImpl; Service; ExampleModule; Count; Counter]; [Main]. LCC (Lack of Component Cohesion) = 0.33
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.binder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.binder; com.google.inject
snapshot20081016,572ea8a233ace002444bdba8052156c4f22a3968,Tue Oct 21 04:26:01 CEST 2008,guice,com.google.inject.binder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.binder; com.google.inject; com.google.inject.spi
before_injectorbuilder_on_commands,f9f9617e02aea93c3d865ebd5892b82f86b30dc3,Sat Mar 08 17:08:06 CET 2008,guice,com.google.inject,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 236
before_injectorbuilder_on_commands,f9f9617e02aea93c3d865ebd5892b82f86b30dc3,Sat Mar 08 17:08:06 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.name
before_injectorbuilder_on_commands,f9f9617e02aea93c3d865ebd5892b82f86b30dc3,Sat Mar 08 17:08:06 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.name; com.google.inject.spi
before_injectorbuilder_on_commands,f9f9617e02aea93c3d865ebd5892b82f86b30dc3,Sat Mar 08 17:08:06 CET 2008,guice,com.google.inject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject; com.google.inject.name; com.google.inject.internal; com.google.inject.spi
before_injectorbuilder_on_commands,f9f9617e02aea93c3d865ebd5892b82f86b30dc3,Sat Mar 08 17:08:06 CET 2008,guice,com.google.inject.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.inject.util; com.google.inject
before_injectorbuilder_on_commands,f9f9617e02aea93c3d865ebd5892b82f86b30dc3,Sat Mar 08 17:08:06 CET 2008,guice,com.google.inject.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.inject
